date,reforma tributária,pec 45/2019,isPartial
2019-02-12,3,0,False
2019-02-13,3,0,False
2019-02-14,5,0,False
2019-02-15,3,0,False
2019-02-16,0,0,False
2019-02-17,3,0,False
2019-02-18,6,0,False
2019-02-19,3,0,False
2019-02-20,3,0,False
2019-02-21,3,0,False
2019-02-22,6,0,False
2019-02-23,4,0,False
2019-02-24,4,0,False
2019-02-25,10,0,False
2019-02-26,0,0,False
2019-02-27,5,0,False
2019-02-28,4,0,False
2019-03-01,6,0,False
2019-03-02,4,0,False
2019-03-03,4,0,False
2019-03-04,4,0,False
2019-03-05,4,0,False
2019-03-06,3,0,False
2019-03-07,3,0,False
2019-03-08,3,0,False
2019-03-09,4,0,False
2019-03-10,11,0,False
2019-03-11,3,0,False
2019-03-12,7,0,False
2019-03-13,0,0,False
2019-03-14,3,0,False
2019-03-15,3,0,False
2019-03-16,4,0,False
2019-03-17,0,0,False
2019-03-18,0,0,False
2019-03-19,5,0,False
2019-03-20,7,0,False
2019-03-21,4,0,False
2019-03-22,3,0,False
2019-03-23,11,0,False
2019-03-24,3,0,False
2019-03-25,3,0,False
2019-03-26,6,0,False
2019-03-27,4,0,False
2019-03-28,8,0,False
2019-03-29,5,0,False
2019-03-30,0,0,False
2019-03-31,8,0,False
2019-04-01,4,0,False
2019-04-02,10,0,False
2019-04-03,18,0,False
2019-04-04,3,0,False
2019-04-05,15,3,False
2019-04-06,4,0,False
2019-04-07,11,0,False
2019-04-08,4,0,False
2019-04-09,10,0,False
2019-04-10,14,0,False
2019-04-11,14,0,False
2019-04-12,6,0,False
2019-04-13,4,0,False
2019-04-14,11,0,False
2019-04-15,9,0,False
2019-04-16,6,3,False
2019-04-17,9,0,False
2019-04-18,7,0,False
2019-04-19,4,0,False
2019-04-20,6,0,False
2019-04-21,4,0,False
2019-04-22,4,0,False
2019-04-23,10,0,False
2019-04-24,11,0,False
2019-04-25,6,3,False
2019-04-26,6,3,False
2019-04-27,0,0,False
2019-04-28,3,0,False
2019-04-29,10,0,False
2019-04-30,4,0,False
2019-05-01,3,0,False
2019-05-02,3,0,False
2019-05-03,12,0,False
2019-05-04,11,0,False
2019-05-05,0,0,False
2019-05-06,8,0,False
2019-05-07,8,0,False
2019-05-08,6,0,False
2019-05-09,7,0,False
2019-05-10,6,0,False
2019-05-11,4,0,False
2019-05-12,5,0,False
2019-05-13,7,3,False
2019-05-14,11,0,False
2019-05-15,7,3,False
2019-05-16,20,0,False
2019-05-17,24,6,False
2019-05-18,11,0,False
2019-05-19,11,0,False
2019-05-20,24,3,False
2019-05-21,31,7,False
2019-05-22,73,8,False
2019-05-23,67,3,False
2019-05-24,31,3,False
2019-05-25,29,0,False
2019-05-26,11,0,False
2019-05-27,13,3,False
2019-05-28,11,0,False
2019-05-29,9,8,False
2019-05-30,13,4,False
2019-05-31,11,0,False
2019-06-01,3,0,False
2019-06-02,6,0,False
2019-06-03,9,0,False
2019-06-04,13,0,False
2019-06-05,17,0,False
2019-06-06,4,3,False
2019-06-07,10,0,False
2019-06-08,0,0,False
2019-06-09,4,0,False
2019-06-10,4,0,False
2019-06-11,3,0,False
2019-06-12,3,0,False
2019-06-13,7,0,False
2019-06-14,8,0,False
2019-06-15,7,0,False
2019-06-16,4,0,False
2019-06-17,10,3,False
2019-06-18,8,0,False
2019-06-19,10,3,False
2019-06-20,5,4,False
2019-06-21,3,0,False
2019-06-22,6,0,False
2019-06-23,8,0,False
2019-06-24,11,3,False
2019-06-25,8,3,False
2019-06-26,7,0,False
2019-06-27,5,0,False
2019-06-28,7,3,False
2019-06-29,7,0,False
2019-06-30,0,0,False
2019-07-01,6,0,False
2019-07-02,7,3,False
2019-07-03,3,0,False
2019-07-04,15,3,False
2019-07-05,12,0,False
2019-07-06,9,0,False
2019-07-07,6,0,False
2019-07-08,12,0,False
2019-07-09,15,3,False
2019-07-10,38,3,False
2019-07-11,61,3,False
2019-07-12,33,3,False
2019-07-13,13,4,False
2019-07-14,21,4,False
2019-07-15,32,0,False
2019-07-16,23,3,False
2019-07-17,29,3,False
2019-07-18,19,0,False
2019-07-19,17,0,False
2019-07-20,11,0,False
2019-07-21,12,0,False
2019-07-22,17,0,False
2019-07-23,15,0,False
2019-07-24,7,0,False
2019-07-25,30,3,False
2019-07-26,13,3,False
2019-07-27,13,0,False
2019-07-28,7,4,False
2019-07-29,10,3,False
2019-07-30,15,3,False
2019-07-31,18,6,False
2019-08-01,11,3,False
2019-08-02,12,3,False
2019-08-03,5,0,False
2019-08-04,10,0,False
2019-08-05,21,0,False
2019-08-06,19,3,False
2019-08-07,22,0,False
2019-08-08,41,0,False
2019-08-09,100,0,False
2019-08-10,55,0,False
2019-08-11,35,0,False
