date,PEC 45/2019,isPartial
2019-02-12,0,False
2019-02-13,0,False
2019-02-14,0,False
2019-02-15,0,False
2019-02-16,0,False
2019-02-17,0,False
2019-02-18,0,False
2019-02-19,0,False
2019-02-20,0,False
2019-02-21,0,False
2019-02-22,0,False
2019-02-23,0,False
2019-02-24,0,False
2019-02-25,0,False
2019-02-26,0,False
2019-02-27,0,False
2019-02-28,0,False
2019-03-01,0,False
2019-03-02,0,False
2019-03-03,0,False
2019-03-04,0,False
2019-03-05,0,False
2019-03-06,0,False
2019-03-07,0,False
2019-03-08,0,False
2019-03-09,0,False
2019-03-10,0,False
2019-03-11,0,False
2019-03-12,0,False
2019-03-13,0,False
2019-03-14,0,False
2019-03-15,0,False
2019-03-16,0,False
2019-03-17,0,False
2019-03-18,0,False
2019-03-19,0,False
2019-03-20,0,False
2019-03-21,0,False
2019-03-22,0,False
2019-03-23,0,False
2019-03-24,0,False
2019-03-25,0,False
2019-03-26,0,False
2019-03-27,0,False
2019-03-28,0,False
2019-03-29,0,False
2019-03-30,0,False
2019-03-31,0,False
2019-04-01,0,False
2019-04-02,0,False
2019-04-03,0,False
2019-04-04,0,False
2019-04-05,37,False
2019-04-06,0,False
2019-04-07,0,False
2019-04-08,0,False
2019-04-09,33,False
2019-04-10,0,False
2019-04-11,0,False
2019-04-12,0,False
2019-04-13,0,False
2019-04-14,0,False
2019-04-15,0,False
2019-04-16,35,False
2019-04-17,0,False
2019-04-18,0,False
2019-04-19,0,False
2019-04-20,0,False
2019-04-21,0,False
2019-04-22,36,False
2019-04-23,0,False
2019-04-24,0,False
2019-04-25,35,False
2019-04-26,36,False
2019-04-27,0,False
2019-04-28,0,False
2019-04-29,0,False
2019-04-30,0,False
2019-05-01,0,False
2019-05-02,0,False
2019-05-03,0,False
2019-05-04,0,False
2019-05-05,0,False
2019-05-06,0,False
2019-05-07,34,False
2019-05-08,34,False
2019-05-09,0,False
2019-05-10,0,False
2019-05-11,0,False
2019-05-12,0,False
2019-05-13,35,False
2019-05-14,0,False
2019-05-15,34,False
2019-05-16,35,False
2019-05-17,73,False
2019-05-18,0,False
2019-05-19,0,False
2019-05-20,35,False
2019-05-21,84,False
2019-05-22,100,False
2019-05-23,50,False
2019-05-24,36,False
2019-05-25,0,False
2019-05-26,0,False
2019-05-27,33,False
2019-05-28,0,False
2019-05-29,99,False
2019-05-30,49,False
2019-05-31,0,False
2019-06-01,42,False
2019-06-02,0,False
2019-06-03,31,False
2019-06-04,0,False
2019-06-05,0,False
2019-06-06,34,False
2019-06-07,0,False
2019-06-08,0,False
2019-06-09,0,False
2019-06-10,0,False
2019-06-11,33,False
2019-06-12,34,False
2019-06-13,0,False
2019-06-14,0,False
2019-06-15,0,False
2019-06-16,0,False
2019-06-17,35,False
2019-06-18,0,False
2019-06-19,34,False
2019-06-20,44,False
2019-06-21,0,False
2019-06-22,0,False
2019-06-23,0,False
2019-06-24,36,False
2019-06-25,34,False
2019-06-26,0,False
2019-06-27,0,False
2019-06-28,36,False
2019-06-29,0,False
2019-06-30,0,False
2019-07-01,0,False
2019-07-02,34,False
2019-07-03,0,False
2019-07-04,34,False
2019-07-05,0,False
2019-07-06,0,False
2019-07-07,0,False
2019-07-08,0,False
2019-07-09,37,False
2019-07-10,35,False
2019-07-11,35,False
2019-07-12,37,False
2019-07-13,45,False
2019-07-14,47,False
2019-07-15,35,False
2019-07-16,34,False
2019-07-17,35,False
2019-07-18,0,False
2019-07-19,78,False
2019-07-20,0,False
2019-07-21,0,False
2019-07-22,0,False
2019-07-23,0,False
2019-07-24,0,False
2019-07-25,35,False
2019-07-26,37,False
2019-07-27,0,False
2019-07-28,46,False
2019-07-29,36,False
2019-07-30,34,False
2019-07-31,69,False
2019-08-01,34,False
2019-08-02,36,False
2019-08-03,0,False
2019-08-04,0,False
2019-08-05,0,False
2019-08-06,34,False
2019-08-07,0,False
2019-08-08,34,False
2019-08-09,0,False
2019-08-10,0,False
2019-08-11,0,False
